StudentID,GPA,Hackathons,Papers,Teacher Assistance,Core Engineering Score,Consistency,Extracurriculars,Internships,Leadership Roles
1,6.87,2,2,0,68,74,3.57,0,0
2,9.75,2,3,0,80,62,7.36,2,1
3,8.66,5,0,0,87,88,6.42,3,1
4,7.99,3,0,0,63,80,7.59,0,1
5,5.78,2,4,1,83,61,8.2,0,1
6,5.78,4,4,2,67,65,9.23,3,1
7,5.29,2,2,2,76,90,4.31,1,1
8,9.33,4,4,0,93,83,9.85,1,0
9,8.01,2,3,0,79,99,2.16,3,1
10,8.54,4,4,1,75,76,7.14,3,1
11,5.1,2,3,0,69,64,5.34,0,1
12,9.85,2,4,2,93,61,8.17,3,1
13,9.16,1,4,0,69,71,4.77,3,1
14,6.06,4,4,2,89,64,7.84,0,1
15,5.91,4,1,0,89,100,9.3,3,0
16,5.92,4,1,0,84,79,7.32,3,0
17,6.52,0,4,2,100,67,7.76,3,1
18,7.62,2,3,1,66,60,0.67,0,0
19,7.16,4,2,1,79,65,2.05,3,1
20,6.46,5,0,0,76,70,9.74,1,0
21,8.06,0,1,0,62,62,6.93,3,1
22,5.7,1,4,2,99,90,5.61,1,0
23,6.46,4,0,2,95,87,3.67,3,0
24,6.83,4,1,0,85,64,0.44,0,1
25,7.28,0,2,2,69,85,3.69,1,1
26,8.93,2,3,1,93,75,4.99,3,0
27,6.0,5,4,1,73,90,2.11,3,1
28,7.57,1,2,2,67,87,1.73,3,1
29,7.96,4,1,2,86,66,5.08,3,1
30,5.23,2,4,2,69,97,5.86,0,1
31,8.04,5,0,1,74,68,2.4,2,1
32,5.85,5,3,0,96,98,5.87,1,1
33,5.33,1,1,2,81,94,9.0,3,0
34,9.74,3,3,2,90,86,4.73,0,1
35,9.83,5,4,2,61,71,8.57,2,1
36,9.04,3,2,0,90,84,9.27,0,0
37,6.52,5,3,2,73,88,0.92,3,0
38,5.49,1,0,2,69,90,0.96,2,0
39,8.42,0,1,1,89,93,4.76,1,1
40,7.2,1,0,2,95,92,5.88,1,0
41,5.61,1,3,1,99,86,4.26,0,0
42,7.48,0,2,0,74,61,3.26,1,0
43,5.17,0,2,2,73,73,6.41,1,0
44,9.55,2,0,2,90,72,0.02,2,0
45,6.29,5,4,1,88,83,9.68,1,0
46,8.31,2,4,0,86,64,2.32,2,0
47,6.56,0,2,0,80,93,9.17,2,0
48,7.6,3,0,1,68,82,1.09,2,1
49,7.73,3,0,0,79,78,2.38,1,1
50,5.92,1,0,0,94,89,2.35,0,0
51,9.85,4,3,0,74,75,9.96,0,1
52,8.88,1,4,0,83,99,0.05,1,1
53,9.7,1,4,0,75,93,6.4,2,1
54,9.47,4,3,0,95,70,8.7,1,0
55,7.99,5,1,0,70,73,6.72,3,0
56,9.61,0,3,0,67,74,3.63,0,1
57,5.44,3,0,2,62,94,9.58,2,0
58,5.98,1,3,1,78,66,8.94,1,1
59,5.23,4,0,0,100,88,4.34,2,0
60,6.63,2,2,1,62,81,5.73,3,1
61,6.94,1,0,0,95,82,9.68,2,0
62,6.36,3,4,0,84,83,9.83,3,0
63,9.14,0,3,2,95,94,4.5,0,1
64,6.78,1,0,1,70,69,8.47,2,1
65,6.4,1,1,1,75,67,3.02,1,1
66,7.71,5,2,2,76,71,3.72,2,1
67,5.7,4,1,2,83,88,1.65,2,0
68,9.01,2,1,1,76,88,2.09,3,0
69,5.37,2,1,0,79,82,6.57,3,1
70,9.93,0,2,0,81,85,5.11,1,1
71,8.86,3,2,1,65,96,2.31,0,0
72,5.99,0,2,0,66,91,4.03,0,0
73,5.03,1,2,2,73,97,3.73,3,0
74,9.08,1,1,2,70,65,9.87,1,0
75,8.53,2,4,2,71,67,8.54,2,1
76,8.65,3,4,1,64,76,3.88,1,1
77,8.86,4,2,1,64,71,9.14,1,0
78,5.37,3,3,1,79,81,3.43,1,0
79,6.79,1,0,0,74,73,6.68,0,1
80,5.58,4,3,1,85,93,9.67,2,1
81,9.32,3,3,1,92,78,3.9,1,0
82,8.12,3,3,2,89,65,6.8,0,1
83,6.65,4,4,0,83,77,2.96,0,1
84,5.32,1,0,0,82,95,2.66,3,0
85,6.55,3,3,2,68,96,5.74,2,1
86,6.63,4,2,0,62,97,9.79,1,0
87,8.65,5,4,1,95,74,4.53,2,0
88,8.19,5,2,0,66,97,9.38,3,0
89,9.44,1,2,2,81,99,9.14,3,1
90,7.36,4,3,0,73,68,2.54,1,1
91,5.6,5,2,2,88,65,4.02,0,1
92,8.57,4,0,1,75,61,6.43,3,0
93,8.8,3,2,1,93,75,5.18,0,1
94,7.81,1,3,2,69,60,0.96,3,1
95,8.85,5,2,1,66,89,9.94,2,0
96,7.47,3,4,1,84,92,7.53,1,1
97,7.61,0,4,0,86,60,4.38,3,1
98,7.14,0,4,1,74,98,6.18,2,0
99,5.13,1,1,2,91,75,0.88,3,1
100,5.54,5,4,1,87,76,4.95,1,1
101,5.16,5,4,0,68,97,9.31,2,1
102,8.18,5,1,2,66,77,8.97,0,1
103,6.57,4,4,1,75,81,3.37,3,1
104,7.54,3,3,1,85,81,5.31,3,1
105,9.54,5,4,1,94,94,6.97,2,0
106,6.25,3,4,2,76,90,3.4,1,0
107,7.05,1,1,0,82,99,0.65,3,0
108,8.78,5,3,2,67,86,5.05,2,1
109,6.14,1,2,2,61,95,6.02,1,0
110,5.38,5,0,0,90,63,0.06,3,0
111,6.45,0,3,2,91,64,0.96,2,0
112,5.81,2,2,2,88,84,2.07,1,1
113,9.65,1,3,1,62,90,3.48,3,0
114,9.04,5,2,2,67,73,5.41,3,1
115,8.17,2,2,1,61,89,2.94,1,0
116,9.36,1,3,2,90,71,2.76,1,0
117,9.02,4,1,1,96,86,8.69,2,0
118,5.93,5,3,1,79,83,1.45,3,0
119,9.46,4,3,1,88,89,4.95,3,1
120,7.7,0,2,0,76,77,9.53,2,0
121,9.04,5,0,2,69,73,6.25,3,0
122,9.48,0,2,2,100,78,7.17,3,0
123,6.59,2,4,2,81,81,4.31,3,1
124,5.55,1,3,0,65,85,0.2,0,0
125,6.14,3,3,1,93,66,6.46,1,0
126,7.14,0,1,2,90,87,6.32,0,1
127,9.09,3,2,0,71,97,1.1,0,1
128,9.3,3,1,0,71,64,4.62,1,0
129,5.03,1,3,2,75,95,9.15,0,0
130,7.55,2,2,1,84,77,2.05,2,0
131,7.09,1,2,0,81,73,4.61,0,0
132,6.11,5,4,2,86,82,4.61,2,1
133,5.6,0,4,1,83,73,8.11,1,0
134,6.69,3,0,0,71,91,8.25,3,0
135,9.71,1,4,0,77,64,7.59,1,0
136,6.62,1,2,2,75,81,3.65,1,1
137,7.59,1,4,2,63,87,0.72,0,1
138,8.52,0,0,1,71,71,3.49,1,0
139,6.82,2,3,2,92,77,6.8,1,1
140,9.86,1,4,2,81,95,7.03,2,0
141,9.81,0,2,1,77,90,9.65,3,0
142,6.26,3,3,2,92,72,4.54,0,1
143,7.49,5,2,1,86,79,6.32,3,1
144,6.5,4,3,1,78,95,5.39,3,1
145,6.42,0,2,1,73,66,1.51,3,0
146,5.18,4,4,2,84,82,4.61,0,1
147,8.05,1,4,1,93,93,5.45,1,0
148,7.51,1,0,2,83,91,9.51,3,1
149,5.26,0,3,1,97,80,3.67,0,0
150,6.39,4,0,2,82,65,9.8,1,0
151,9.54,1,1,1,64,75,5.42,3,0
152,6.2,3,4,0,95,94,2.42,2,1
153,5.72,2,3,0,83,79,1.92,0,1
154,7.45,2,0,0,95,100,1.42,3,1
155,9.93,1,0,1,64,70,4.53,0,0
156,6.21,4,1,2,98,91,0.22,2,1
157,8.36,5,0,1,65,73,4.45,0,1
158,8.81,1,2,1,95,83,9.88,1,1
159,6.19,5,4,1,63,98,6.7,3,1
160,8.64,5,0,1,69,90,7.6,0,0
161,6.84,4,0,2,60,76,1.19,0,1
162,8.16,5,1,1,80,84,4.73,3,0
163,8.17,3,2,0,99,68,2.86,2,0
164,7.68,4,0,0,98,81,8.94,2,0
165,5.45,1,4,0,96,94,1.81,3,0
166,9.18,3,4,1,62,96,4.59,3,0
167,6.6,0,0,2,90,76,5.88,1,1
168,5.93,2,2,2,86,87,5.14,0,1
169,5.2,1,4,2,76,60,8.3,0,0
170,7.95,1,4,1,82,68,2.31,2,1
171,8.39,1,2,2,72,72,3.77,1,0
172,5.08,3,2,0,86,91,7.92,0,0
